code,name,market,market_cap,sector_krx,sector_override,sector_display,sector_kis,sector_kis_lcls
010170,대한광통신,KOSDAQ,2200100000000,전기·전자,,전기·전자,IT H/W,통신장비
005440,현대지에프홀딩스,KOSPI,2198900000000,기타금융,,기타금융,유통업,유통업
030000,제일기획,KOSPI,2183500000000,일반서비스,,일반서비스,서비스업,서비스업
014680,한솔케미칼,KOSPI,2180400000000,화학,,화학,화학,화학
005290,동진쎄미켐,KOSDAQ,2163700000000,화학,,화학,IT H/W,반도체
009970,영원무역홀딩스,KOSPI,2156800000000,기타금융,,기타금융,유통업,유통업
081660,미스토홀딩스,KOSPI,2155500000000,유통,,유통,가정용품 도매업,가정용품 도매업
007070,GS리테일,KOSPI,2148700000000,유통,,유통,KOSPI 50,보험
214150,클래시스,KOSDAQ,2129900000000,의료·정밀기기,,의료·정밀기기,의료용 기기 제조업,의료용 기기 제조업
018670,SK가스,KOSPI,2118000000000,유통,,유통,유통업,유통업
051600,한전KPS,KOSPI,2101500000000,건설,,건설,건설업,건설업
112610,씨에스윈드,KOSPI,2098000000000,금속,,금속,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 금속제품, 탱크 및 증기발생기 제조업"
058610,에스피지,KOSDAQ,2049200000000,전기·전자,,전기·전자,IT H/W,IT부품
140410,메지온,KOSDAQ,2048600000000,일반서비스,,일반서비스,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업
139480,이마트,KOSPI,2031100000000,유통,,유통,종합 소매업,종합 소매업
002790,아모레퍼시픽홀딩스,KOSPI,2026100000000,화학,,화학,서비스업,서비스업
073240,금호타이어,KOSPI,2019400000000,화학,,화학,화학,화학
069960,현대백화점,KOSPI,2012000000000,유통,,유통,유통업,유통업
457190,이수스페셜티케미컬,KOSPI,1994400000000,화학,,화학,기초화학물질 제조업,기초화학물질 제조업
263750,펄어비스,KOSDAQ,1989000000000,IT 서비스,,IT 서비스,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
098460,고영,KOSDAQ,1974500000000,기계·장비,,기계·장비,제조,기계·장비
083650,비에이치아이,KOSDAQ,1958800000000,기계·장비,,기계·장비,제조,기계·장비
475150,SK이터닉스,KOSPI,1928200000000,건설,,건설,건물 건설업,건물 건설업
462870,시프트업,KOSPI,1909100000000,IT 서비스,,IT 서비스,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
140860,파크시스템스,KOSDAQ,1887200000000,의료·정밀기기,,의료·정밀기기,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기제외"
439260,대한조선,KOSPI,1877800000000,운송장비·부품,,운송장비·부품,선박 및 보트 건조업,선박 및 보트 건조업
071970,HD현대마린엔진,KOSPI,1869100000000,기계·장비,,기계·장비,일반 목적용 기계 제조업,일반 목적용 기계 제조업
068760,셀트리온제약,KOSDAQ,1856000000000,제약,,제약,IT S/W & SVC,컴퓨터서비스
020150,롯데에너지머티리얼즈,KOSPI,1817100000000,전기·전자,,전기·전자,전자부품 제조업,전자부품 제조업
089030,테크윙,KOSDAQ,1813800000000,기계·장비,,기계·장비,특수 목적용 기계 제조업,특수 목적용 기계 제조업
060370,LS마린솔루션,KOSDAQ,1755200000000,건설,,건설,건설,전문건설
089860,롯데렌탈,KOSPI,1712000000000,일반서비스,,일반서비스,,
007390,네이처셀,KOSDAQ,1707500000000,제약,,제약,제조,금속
096530,씨젠,KOSDAQ,1700000000000,제약,,제약,의료용품 및 기타 의약관련제품 제조업,의료용품 및 기타 의약관련제품 제조업
041510,에스엠,KOSDAQ,1691900000000,오락·문화,,오락·문화,제조,출판·매체복제
000120,CJ대한통운,KOSPI,1672100000000,운송·창고,,운송·창고,운수창고,운수창고
0009K0,에임드바이오,KOSDAQ,1668500000000,일반서비스,,일반서비스,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업
023590,다우기술,KOSPI,1655700000000,IT 서비스,,IT 서비스,서비스업,서비스업
008770,호텔신라,KOSPI,1644500000000,유통,,유통,유통업,유통업
395400,SK리츠,KOSPI,1637500000000,부동산,,부동산,부동산 임대 및 공급업,부동산 임대 및 공급업
950160,코오롱티슈진,KOSDAQ,1628000000000,제약,,제약,기초 의약물질 및 생물학적 제제 제조업,기초 의약물질 및 생물학적 제제 제조업
006040,동원산업,KOSPI,1626600000000,기타금융,,기타금융,기타 금융업,기타 금융업
